INTÄKTER STRUCTSALES AB,,,,,,
,JAN,FEB,MAR,APR,MAJ,JUN
HubSpot Commission,,"100,000 kr",,,"300,000 kr",
Bluewater,,,,"281,000 kr",,
Reboard,,,,,,
Cristie,,,"112,000 kr",,,
Manpower,"15,000 kr","15,000 kr","15,000 kr","15,000 kr","15,000 kr","15,000 kr"
Efuel,"47,500 kr","47,500 kr",,"47,500 kr","47,500 kr","47,500 kr"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
INTÄKTER,"62,500 kr","162,500 kr","127,000 kr","343,500 kr","362,500 kr","62,500 kr"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
UTGIFTER STRUCTSALES AB,,,,,,
Aros Kapital,"16,205 kr","13,700 kr",,,,
Delage Landen Finans (datorer),"4,300 kr","4,300 kr","4,300 kr","4,300 kr","4,300 kr","4,300 kr"
WINT,"3,750 kr","3,750 kr","3,750 kr","3,750 kr","3,750 kr","3,750 kr"
Licens HubSpot,"11,000 kr","11,000 kr","11,000 kr","11,000 kr","11,000 kr","11,000 kr"
Löner (Birna),"16,300 kr","16,300 kr","16,300 kr",,,
Sociala + skatt (Birna),"9,200 kr","9,200 kr","9,200 kr","9,200 kr",,
Moms,,"100,000 kr",,,,"50,000 kr"
Leadlabs,"100,000 kr","100,000 kr","100,000 kr","100,000 kr","100,000 kr","100,000 kr"
Oliver Lopez (lön),"62,500 kr","50,000 kr","35,000 kr","35,000 kr","35,000 kr","35,000 kr"
Oliver Lopez (skatt+sociala),,,"26,000 kr","26,000 kr","26,000 kr","26,000 kr"
Söder Content,"30,000 kr","52,000 kr","40,000 kr","40,000 kr","40,000 kr","40,000 kr"
HubXperts,,,"20,000 kr","20,000 kr","20,000 kr","20,000 kr"
Simplex Consulting,"20,000 kr","33,000 kr",,,,
IKANO (Leasing),"1,298 kr","1,298 kr","1,298 kr","1,298 kr","1,298 kr","1,298 kr"
Office 365,900 kr,900 kr,900 kr,900 kr,900 kr,900 kr
Licens Load,"47,000 kr",,,,,
,,,,,,
UTGIFTER,"322,453 kr","395,448 kr","267,748 kr","251,448 kr","242,248 kr","292,248 kr"
,,,,,,
,,,,,,
SUMMA,"-259,953 kr","-232,948 kr","-140,748 kr","92,052 kr","120,252 kr","-229,748 kr"
På kontot,"-123,953 kr","-356,901 kr","-497,649 kr","-405,597 kr","-285,345 kr",
,,,,,,
,,,,,,
,,,,,,
29 januari,,,,,,
"SEK 136,000",,,,,,
